Clean_Symbol,GSM2048265,GSM2048266,GSM2048267,GSM2048268,GSM2048269,GSM2048270,GSM2048271,GSM2048272,GSM2048273,GSM2048274,GSM2048275,GSM2048276,GSM2048277,GSM2048278,GSM2048279,GSM2048280,GSM2048281,GSM2048282,GSM2048283,GSM2048284,GSM2048285,GSM2048286,GSM2048287
ABCB11,2.8701939662341767,2.042032132394237,2.4194758834759718,2.146390874613923,3.326458328965554,3.912383926571647,2.2080820823665643,3.1613246310655083,1.8513287716954556,1.3995436530370018,2.8159886601193724,2.156622925893781,2.3102932052259386,3.3502198590705463,3.526555668229781,2.3067658264589634,2.748327041296748,2.268648033545421,3.1334869457609247,1.405735515264918,1.8843568285152423,1.9995490168528036,1.827675914306277
ABCB4,6.745506265869159,6.817623257511431,4.7114949066500875,4.161887682376894,5.672425341971495,4.655351828612554,4.882643049361842,4.572889668420581,5.4329594072761065,3.817623257511431,4.832890014164741,5.169925001442312,5.125155131322289,4.112700132749362,3.990954860396993,1.722466024471091,4.336283387864432,3.689299160535892,5.436295119839363,4.008988783227255,4.9954845188775066,5.281698250098829,5.149747119504682
ABCB6,4.026284025402077,4.982509726796137,4.774651684256788,5.027831021072423,3.806986793690112,3.938872124974501,2.987838018898663,2.6066736408667204,3.4653686687814433,3.4088116287557155,4.182636299882266,2.9189716209455137,3.8146783100398047,3.90996179778033,3.697445683221293,3.260211124263223,3.681147269197793,3.1961587113893803,3.9185301018792997,3.7617809780285065,3.6294478775377184,4.258165193412968,5.7056071841163
ABCB7,8.24697805961472,8.78234303404953,7.885696373339395,7.259272487037594,7.280770770130602,6.659639187015652,6.040015678847879,6.329123596291566,6.84924870276441,7.167919865551935,6.501439145158873,6.921245888585589,6.658211482751795,7.073606040574941,6.627898615871748,6.141596278383818,6.542258049766918,6.675251386050259,7.20945336562895,7.159871336778389,7.720415284906329,6.4379600883344725,6.419538891513785
ABCB8,2.8504972470841334,1.999097751576626,2.660242339008847,4.100816930584825,2.450554121507256,4.686106054594534,2.7705095765667793,2.8362126709857476,3.43209307232714,2.284320097709612,3.136664693280837,3.302554536916466,2.2310261593982164,1.856297890223515,3.3432502635916093,2.833378295942402,3.1047266828144746,3.320122468111173,4.587961871031878,3.5348188642391296,2.617863529919029,2.934688962015664,3.1778957733768234
ABCB9,2.064641508472483,4.180269930825905,2.995930965278162,4.237846452627808,3.120157164666855,4.202911110255835,3.8909421172707424,3.7019746821164325,4.224925107420736,2.7070677664922256,3.1600617990203075,4.145746526629637,4.51965146273682,2.7021450322224183,3.403677461028802,3.700439718141092,2.597476897966917,3.247607731760217,4.047804002405599,2.9111101358107643,3.3429700742229884,4.149832972065089,4.105700818709236
ABCC1,6.6847557345089825,6.446157562278254,6.276094379778575,6.970443536868466,6.9611110055379,7.150702368782238,6.9056376696100275,7.531493157985055,7.207037698264552,6.876446930985925,6.51579029991683,7.178710709706253,7.218355771068607,6.755947964004827,7.302208854725852,7.136177476401402,7.423881036898857,7.239135492308387,7.015413301581928,7.404255374208351,6.63495415844508,5.191690148814379,6.0283188575566005
ABCC10,5.862691650427557,6.123540968283132,6.411114119912526,6.517416672397426,6.452635205645803,7.428148563861045,6.753808137008466,6.535456265995231,6.242790143249138,6.519929040510688,6.863222978856243,7.731109255629949,6.67474705300836,6.189835387810112,6.910828204745057,7.293874696671879,6.842713868388136,6.812860699054541,7.507443506507212,6.5552008720094195,6.917995581153813,6.158946527612933,7.153896398064948
ABCC2,4.087462841250339,4.498250867527825,0.925999418556223,4.095924419998536,2.137503523749935,2.0,1.1375035237499351,2.2016338611696504,5.035623909730721,0.8479969065549501,0.8479969065549501,0.8479969065549501,0.8479969065549501,1.1375035237499351,0.765534746362977,1.4329594072761063,1.8875252707415875,3.137503523749935,1.3785116232537298,1.0,1.3785116232537298,2.232660756790275,1.8875252707415875
ABCC3,3.757455632430677,3.858564013099622,6.4586347528666135,6.500396139234656,5.093737899086496,5.444051969289712,5.804547804956237,4.958932165977538,2.664202829479284,6.899154891227298,4.166577675155308,7.050323368001573,6.661907381214701,6.1161385051341455,7.3860954191688215,6.3351510850392625,6.655028021940172,6.878479318286169,8.259215933228694,6.921642560314278,6.2716416031676285,7.256044292365832,6.866173822634236
